"Date","Track_100m","Pred_100m","Track_200m","Pred_200m","Track_500m","Pred_500m","Track_50m","Pred_50m","Station"
"2017-10-03 17:06:07",117,0.216475023458907,117,0.249430139080521,117,0.148454265568742,117,0.223930616337278,"P2"
"2017-10-07 05:26:01",168,0.178081092255712,168,0.161696951447838,168,0.13569970430736,168,0.170068566372732,"P2"
"2017-10-08 17:14:16",15,0.175053981158655,15,0.181822419854084,15,0.165806426681967,15,0.141735704699465,"P2"
"2017-10-09 17:06:50",117,0.220485928080238,117,0.193585895373932,117,0.170292730739559,117,0.1870361165552,"P2"
"2017-10-13 05:27:00",168,0.175631744497566,168,0.170192897768244,168,0.164672439040764,168,0.147165884332571,"P2"
"2017-10-14 17:14:54",15,0.182653631063566,15,0.163622395319562,15,0.154365646065334,15,0.16320970596214,"P2"
"2017-10-15 17:06:07",117,0.182653631063566,117,0.163622395319562,117,0.15963911985197,117,0.17666254741444,"P2"
"2017-10-19 05:26:01",168,0.15482397257318,168,0.136224394501109,168,0.149063583067772,168,0.144412142761425,"P2"
"2017-10-20 17:14:16",15,0.169624477365751,15,0.169643779117425,15,0.152583815826014,15,0.157938812924508,"P2"
"2017-10-21 17:06:50",117,0.157379996946815,117,0.145860370856441,117,0.152829377378298,117,0.163519337817678,"P2"
"2017-10-25 05:27:00",168,0.161827503366939,168,0.163864674299508,168,0.139744475459246,168,0.156796321056296,"P2"
"2017-10-26 17:14:54",15,0.15482397257318,15,0.134461398240432,15,0.136623490229153,15,0.138104478542984,"P2"
"2017-10-27 17:06:07",117,0.192947175854136,117,0.235558875473869,117,0.168796555487849,117,0.184019755781236,"P2"
"2017-10-31 05:26:02",168,0.155254003851185,168,0.134461398240432,168,0.137669345995105,168,0.14484217403943,"P2"
"2017-11-01 17:14:16",15,0.153651137755854,15,0.134461398240432,15,0.136623490229153,15,0.134278310738626,"P2"
"2017-11-02 17:06:50",117,0.15482397257318,117,0.134461398240432,117,0.140706637669396,117,0.146189493794248,"P2"
"2017-11-06 05:27:00",168,0.212967936548793,168,0.178590971030009,168,0.147786439710957,168,0.175435675799408,"P2"
"2017-11-07 17:14:54",15,0.204739795852267,15,0.235605886548168,15,0.174516709674644,15,0.174507340541414,"P2"
"2017-11-08 17:06:07",117,0.192947175854136,117,0.232489311034074,117,0.168117114712382,117,0.184019755781236,"P2"
"2017-11-12 05:26:01",168,0.175631744497566,168,0.168429901507567,168,0.147786439710957,168,0.147165884332571,"P2"
"2017-11-13 17:14:16",15,0.192947175854136,15,0.235558875473869,15,0.163176263789054,15,0.172915750469328,"P2"
"2017-11-14 17:06:50",117,0.195081959023029,117,0.235982900921471,117,0.168117114712382,117,0.191343740578709,"P2"
"2018-06-18 17:06:51",117,0.13462141616502,117,0.132281675186841,117,0.123545444481488,117,0.144928145728749,"P2"
"2018-06-22 05:27:02",168,0.148408746682585,168,0.140483492901922,168,0.117253924205259,168,0.147969563943523,"P2"
"2018-06-23 17:15:12",15,0.128540854135767,15,0.132281675186841,15,0.125500314550342,15,0.124001517795062,"P2"
"2018-06-24 17:06:09",117,0.126776475592848,117,0.132281675186841,117,0.123545444481488,117,0.124697238915948,"P2"
"2018-06-28 05:26:03",168,0.133448581347694,168,0.132281675186841,168,0.125500314550342,168,0.130135345617216,"P2"
"2018-06-30 17:06:52",117,0.128180637248303,117,0.130749327503759,117,0.122837101960158,117,0.127220121084743,"P2"
"2018-07-04 05:27:02",168,0.17566808674542,168,0.167571672478714,168,0.127914964253343,168,0.179668151355742,"P2"
"2018-07-05 17:15:13",15,0.178223723198183,15,0.154542908575439,15,0.11890509570612,15,0.171770001300168,"P2"
"2018-07-06 17:06:09",117,0.133694470792235,117,0.128408719727337,117,0.11965385145394,117,0.144907436276806,"P2"
"2018-07-10 05:26:20",168,0.139825261035656,168,0.124720558226085,168,0.115348013767391,168,0.154927492678412,"P2"
"2018-07-11 17:14:19",15,0.139825261035656,15,0.125989104238343,15,0.116616559779649,15,0.146076381078836,"P2"
"2018-07-12 17:06:53",117,0.128786743580308,117,0.127860606170123,117,0.119105737896726,117,0.133572672369763,"P2"
"2018-07-16 05:27:03",168,0.178223723198183,168,0.153696562932274,168,0.175280092848684,168,0.188003346371467,"P2"
"2018-07-17 17:15:14",15,0.149361745009025,15,0.124720558226085,15,0.159801839058377,15,0.155612865052205,"P2"
"2018-07-18 17:06:10",117,0.125394165865068,117,0.127860606170123,117,0.155554623149537,117,0.133572672369763,"P2"
"2018-07-22 05:26:21",168,0.199788367287422,168,0.204171435042641,168,0.176598236982978,168,0.22228451155913,"P2"
"2018-07-23 17:14:20",15,0.126330330950276,15,0.134043241455264,15,0.153034733193085,15,0.122774016343164,"P2"
"2018-07-24 17:06:53",117,0.121422603738349,117,0.134043241455264,117,0.157117880633327,117,0.135355007405121,"P2"
"2018-07-28 05:27:04",168,0.133578564058722,168,0.137691992304329,168,0.159801839058377,168,0.155248103133608,"P2"
"2018-07-29 17:15:14",15,0.124936694896071,15,0.134043241455264,15,0.153034733193085,15,0.126600184147522,"P2"
"2018-07-30 17:06:11",117,0.184464846274206,117,0.175951153565231,117,0.176898978940315,117,0.211937964857151,"P2"
"2018-08-03 05:26:22",168,0.152794832608289,168,0.167561898109535,168,0.122531202225887,168,0.155737753129565,"P2"
"2018-08-04 17:14:20",15,0.130103543837197,15,0.137691992304329,15,0.117095453473349,15,0.133850337310529,"P2"
"2018-08-05 17:06:54",117,0.128236885841233,117,0.139567027283157,117,0.13900920327417,117,0.121490547532578,"P2"
"2018-08-09 05:27:04",168,0.18736563282065,168,0.215498422615586,168,0.161579628136332,168,0.165796129838237,"P2"
"2018-08-10 17:15:15",15,0.166985675992842,15,0.135151510548998,15,0.154489573108237,15,0.159209807848536,"P2"
"2018-08-11 17:06:11",117,0.137333626853321,117,0.150854761586361,117,0.14302278808633,117,0.150230199168138,"P2"
"2018-08-15 05:26:22",168,0.15691581539219,168,0.149738609998943,168,0.141626259103844,168,0.155695951187647,"P2"
"2018-08-16 17:14:21",15,0.133970719896869,15,0.150424730308356,15,0.135474169391143,15,0.112232365714438,"P2"
"2018-08-17 17:06:55",117,0.131629463556473,117,0.139567027283157,117,0.13900920327417,117,0.121490547532578,"P2"
"2018-08-21 05:27:05",168,0.135183086974834,168,0.152458670855392,168,0.138605881885291,168,0.144083165317602,"P2"
"2018-08-22 17:15:16",15,0.131629463556473,15,0.140384621632095,15,0.136002497231644,15,0.107324638502511,"P2"
"2018-08-23 17:06:12",117,0.131629463556473,117,0.139567027283157,117,0.139537531114671,117,0.121490547532578,"P2"
"2018-08-27 05:26:23",168,0.147297282178697,168,0.152402386915675,168,0.158300745549973,168,0.141758748007441,"P2"
"2018-08-28 17:14:22",15,0.156443023362433,15,0.152411015897288,15,0.151345335798453,15,0.113566869123263,"P2"
"2018-08-29 17:06:56",117,0.146006435158593,117,0.140826519022013,117,0.162433111834203,117,0.112899185742687,"P2"
"2018-09-02 05:27:06",168,0.20045079247773,168,0.225892736947763,168,0.181314714679824,168,0.166710808815681,"P2"
"2018-09-03 17:15:17",15,0.199502671513257,15,0.208667831733598,15,0.180555501632672,15,0.150408786466233,"P2"
"2018-09-04 17:06:13",117,0.200371110153257,117,0.221036804956193,117,0.18693500637862,117,0.165133705459213,"P2"
"2018-09-08 05:26:24",168,0.147297282178697,168,0.152402386915675,168,0.152386814214467,168,0.141758748007441,"P2"
"2018-09-09 17:14:22",15,0.155158075280035,15,0.151010983130857,15,0.146909601931615,15,0.120040250751213,"P2"
"2018-09-10 17:06:56",117,0.156443023362433,117,0.152411015897288,117,0.151215439618164,117,0.140438529933485,"P2"
"2018-09-14 05:27:06",168,0.220919968736504,168,0.189744167171777,168,0.159258091374093,168,0.184186787756762,"P2"
"2018-09-15 17:15:17",15,0.157836659416638,15,0.142975613061153,15,0.147132292177922,15,0.109740701318905,"P2"
