"","Date.x","Station.x","get_ts","get_map","Station"
"109",2020-11-03 17:15:30,"B1",0.218415487489813,0.14,"B1"
"110",2020-11-03 17:15:30,"B2",0.190021056562895,0.15,"B2"
"111",2020-11-03 17:15:30,"B3",0.254233636676534,0.11,"B3"
"112",2020-11-03 17:15:30,"I1",0.151697856598482,0.18,"I1"
"113",2020-11-03 17:15:30,"I3",0.185875882211807,0.16,"I3"
"114",2020-11-03 17:15:30,"P1",0.19553937351679,0.24,"P1"
"115",2020-11-03 17:15:30,"P2",0.182751709584974,0.24,"P2"
"116",2020-11-03 17:15:30,"P3",0.204692990143871,0.24,"P3"
"117",2020-11-04 17:06:26,"B1",0.214045547739425,0.16,"B1"
"118",2020-11-04 17:06:26,"B2",0.174424527133989,0.16,"B2"
"119",2020-11-04 17:06:26,"B3",0.242975030963543,0.11,"B3"
"120",2020-11-04 17:06:26,"I1",0.154576385520735,0.18,"I1"
"121",2020-11-04 17:06:26,"I3",0.193574468745924,0.21,"I3"
"122",2020-11-04 17:06:26,"P1",0.190518690733531,0.17,"P1"
"123",2020-11-04 17:06:26,"P2",0.199503444970448,0.23,"P2"
"124",2020-11-04 17:06:26,"P3",0.183661720504862,0.23,"P3"
"125",2020-11-08 05:26:15,"B1",0.181156375454081,0.17,"B1"
"126",2020-11-08 05:26:15,"B2",0.136031725352763,0.18,"B2"
"127",2020-11-08 05:26:15,"B3",0.247503206987243,0.09,"B3"
"128",2020-11-08 05:26:15,"I1",0.160832687837201,0.24,"I1"
"129",2020-11-08 05:26:15,"I3",0.154803314938561,0.17,"I3"
"130",2020-11-08 05:26:15,"P1",0.190339855285755,0.22,"P1"
"131",2020-11-08 05:26:15,"P2",0.175334211462739,0.26,"P2"
"132",2020-11-08 05:26:15,"P3",0.167957813671906,0.18,"P3"
"133",2020-11-09 17:14:35,"B1",0.206487965628164,0.16,"B1"
"134",2020-11-09 17:14:35,"B2",0.153804090098493,0.15,"B2"
"135",2020-11-09 17:14:35,"B3",0.254445888792572,0.11,"B3"
"136",2020-11-09 17:14:35,"I1",0.164039737476533,0.2,"I1"
"137",2020-11-09 17:14:35,"I3",0.183947161297503,0.18,"I3"
"138",2020-11-09 17:14:35,"P1",0.190491287494752,0.27,"P1"
"139",2020-11-09 17:14:35,"P2",0.181719148822441,0.23,"P2"
"140",2020-11-09 17:14:35,"P3",0.207269772488387,0.27,"P3"
"141",2020-11-10 17:07:09,"B1",0.183719078910672,0.17,"B1"
"142",2020-11-10 17:07:09,"B2",0.182368325828195,0.15,"B2"
"143",2020-11-10 17:07:09,"B3",0.254445888792572,0.1,"B3"
"144",2020-11-10 17:07:09,"I1",0.166840667856953,0.25,"I1"
"145",2020-11-10 17:07:09,"I3",0.174984159724469,0.2,"I3"
"146",2020-11-10 17:07:09,"P1",0.192561425046431,0.21,"P1"
"147",2020-11-10 17:07:09,"P2",0.202918663740092,0.23,"P2"
"148",2020-11-10 17:07:09,"P3",0.169589543649438,0.21,"P3"
"149",2020-11-14 05:27:19,"B1",0.1859255307364,0.14,"B1"
"150",2020-11-14 05:27:19,"B2",0.114171993778398,0.14,"B2"
"151",2020-11-14 05:27:19,"B3",0.261659018658743,0.11,"B3"
"152",2020-11-14 05:27:19,"I1",0.151273403353211,0.18,"I1"
"153",2020-11-14 05:27:19,"I3",0.176150987489099,0.14,"I3"
"154",2020-11-14 05:27:19,"P1",0.197790011372408,0.19,"P1"
"155",2020-11-14 05:27:19,"P2",0.139758168021511,0.21,"P2"
"156",2020-11-14 05:27:19,"P3",0.133692876623545,0.14,"P3"
"157",2020-11-15 17:15:30,"B1",0.186253019706071,0.18,"B1"
"158",2020-11-15 17:15:30,"B2",0.153804090098493,0.14,"B2"
"159",2020-11-15 17:15:30,"B3",0.205773676783891,0.07,"B3"
"160",2020-11-15 17:15:30,"I1",0.160832687837201,0.18,"I1"
"161",2020-11-15 17:15:30,"I3",0.171219534894742,0.23,"I3"
"162",2020-11-15 17:15:30,"P1",0.183405382767179,0.25,"P1"
"163",2020-11-15 17:15:30,"P2",0.139281649982382,0.17,"P2"
"164",2020-11-15 17:15:30,"P3",0.185880347164284,0.16,"P3"
"165",2020-11-16 17:06:26,"B1",0.208611982391876,0.14,"B1"
"166",2020-11-16 17:06:26,"B2",0.185591052920417,0.14,"B2"
"167",2020-11-16 17:06:26,"B3",0.252501021535929,0.09,"B3"
"168",2020-11-16 17:06:26,"I1",0.174502817671846,0.26,"I1"
"169",2020-11-16 17:06:26,"I3",0.183922397154936,0.14,"I3"
"170",2020-11-16 17:06:26,"P1",0.192561425046431,0.17,"P1"
"171",2020-11-16 17:06:26,"P2",0.206166610914917,0.23,"P2"
"172",2020-11-16 17:06:26,"P3",0.170616091766136,0.25,"P3"
"173",2020-11-20 05:26:15,"B1",0.179445883741258,0.15,"B1"
"174",2020-11-20 05:26:15,"B2",0.128586754172072,0.16,"B2"
"175",2020-11-20 05:26:15,"B3",0.20609997133021,0.09,"B3"
"176",2020-11-20 05:26:15,"I1",0.155617839515063,0.17,"I1"
"177",2020-11-20 05:26:15,"I3",0.174984159724469,0.14,"I3"
"178",2020-11-20 05:26:15,"P1",0.165518153413906,0.15,"P1"
"179",2020-11-20 05:26:15,"P2",0.176619002766433,0.27,"P2"
