"","Station_na","Land_use","Aspect","Latitude","Longitude","Altitude","Altitude_a","Date","Pred_20m_map","SMC_map_20m"
"111","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201005_050951",NA,NA
"112","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201005_050951",NA,NA
"113","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201005_050951",NA,NA
"114","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201005_050951",NA,NA
"115","F6","Forest","North",46.695578,10.648088,2360,2400,"20201005_050951",NA,NA
"116","F5","Forest","South",46.73886,10.68865,2090,2100,"20201005_050951",NA,NA
"117","F4","Forest","North",46.69865,10.64211,2027,2000,"20201005_050951",NA,NA
"118","F3","Forest","South",46.69759,10.60724,1985,2000,"20201005_050951",NA,NA
"119","F2","Forest","South",46.69435,10.61268,1710,1700,"20201005_050951",NA,NA
"120","F1","Forest","South",46.67776,10.577797,1154,1200,"20201005_050951",NA,NA
"121","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201005_170644",0.17,NA
"122","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201005_170644",0.2,NA
"123","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201005_170644",0.2,NA
"124","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201005_170644",NA,NA
"125","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201005_170644",NA,NA
"126","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201005_170644",NA,NA
"127","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201005_170644",NA,NA
"128","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201005_170644",0.25,NA
"129","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201005_170644",0.16,NA
"130","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201005_170644",0.26,NA
"131","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201005_170644",0.16,NA
"132","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201005_170644",0.19,NA
"133","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201005_170644",NA,NA
"134","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201005_170644",NA,NA
"135","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201005_170644",NA,NA
"136","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201005_170644",0.17,NA
"137","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201005_170644",NA,NA
"138","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201005_170644",NA,NA
"139","F6","Forest","North",46.695578,10.648088,2360,2400,"20201005_170644",NA,NA
"140","F5","Forest","South",46.73886,10.68865,2090,2100,"20201005_170644",NA,NA
"141","F4","Forest","North",46.69865,10.64211,2027,2000,"20201005_170644",NA,NA
"142","F3","Forest","South",46.69759,10.60724,1985,2000,"20201005_170644",NA,NA
"143","F2","Forest","South",46.69435,10.61268,1710,1700,"20201005_170644",0.22,NA
"144","F1","Forest","South",46.67776,10.577797,1154,1200,"20201005_170644",0.23,NA
"145","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201006_165809",NA,NA
"146","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201006_165809",NA,NA
"147","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201006_165809",NA,NA
"148","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201006_165809",NA,NA
