time,station,landuse,elevation,latitude,longitude,swc_wc_a_02_avg,swc_wc_a_02_std,swc_wc_a_05_avg,swc_wc_a_05_std,swc_wc_b_02_avg,swc_wc_b_02_std,swc_wc_b_05_avg,swc_wc_b_05_std,swc_wc_c_02_avg,swc_wc_c_02_std,swc_wc_c_05_avg,swc_wc_c_05_std
,,,,,,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3
2022-10-31 14:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3274,0,0.3652,0,0.3212,0,0.32704,4.899792e-05,0.36112,0.0002039642,0.2140467,0.0001746099
2022-10-31 14:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3272467,0.0002753575,0.3652,0,0.32082,0.0003124183,0.3264,0,0.3606,0,0.2139933,0.0002542083
2022-10-31 15:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3265933,0.0002489113,0.3652,0,0.3205333,4.714827e-05,0.3264,0,0.3606,0,0.2133333,4.714125e-05
2022-10-31 15:15:00,b2,me,1490,46.6862577024,10.5798451965,0.32646,0.0002939437,0.3652,0,0.3202667,0.0003003617,0.3264,0,0.3606,0,0.21334,4.899062e-05
2022-10-31 15:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3261,0,0.36464,0.0001496688,0.3199,0,0.32748,0.0003249603,0.3606,0,0.21324,0.000255086
2022-10-31 15:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3259,0.0002828334,0.3646,0,0.3193466,0.000221711,0.3276,0,0.36008,0.000203954,0.2126067,2.494481e-05
2022-10-31 16:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3257267,0.0003065145,0.3646,0,0.3189067,0.0003295797,0.3271533,0.0006520375,0.36,0,0.2126,0
2022-10-31 16:15:00,b2,me,1490,46.6862577024,10.5798451965,0.32552,0.0001599977,0.3646,0,0.3186,0,0.3264066,0.0004850597,0.36,0,0.2126067,2.494481e-05
2022-10-31 16:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3252133,0.0003383599,0.3646,0,0.3186,0,0.327,0,0.36,0,0.2126,0
2022-10-31 16:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3248467,0.0001746099,0.36456,0.0001496688,0.3186,0,0.3269533,0.0001746099,0.36,0,0.2126,0
2022-10-31 17:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3254533,0.0001746099,0.36408,0.0002039642,0.3186,0,0.3269933,2.494109e-05,0.3594133,3.398897e-05,0.2126133,3.399404e-05
2022-10-31 17:15:00,b2,me,1490,46.6862577024,10.5798451965,0.3248533,4.988217e-05,0.364,0,0.31812,0.0002400041,0.3268,0.0003033142,0.3594,0,0.2126,0
2022-10-31 17:30:00,b2,me,1490,46.6862577024,10.5798451965,0.32494,0.0001496688,0.364,0,0.3182,0.0002828475,0.3269933,0.0002379554,0.3594133,3.398897e-05,0.2130667,0.001159121
2022-10-31 17:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3249,0,0.364,0,0.3186,0,0.3269466,4.988217e-05,0.3594266,4.421582e-05,0.2119267,4.42224e-05
2022-10-31 18:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3249,0,0.364,0,0.3186,0,0.3270067,0.0001651931,0.35946,4.898332e-05,0.2121866,0.0003383608
2022-10-31 18:15:00,b2,me,1490,46.6862577024,10.5798451965,0.3249,0,0.364,0,0.3186,0,0.3269533,0.0001499578,0.3594866,3.398897e-05,0.2122267,0.0003749953
2022-10-31 18:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3249,0,0.364,0,0.3186,0,0.32696,0.0001496614,0.3595,0,0.21268,4.000068e-05
2022-10-31 18:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3249,0,0.364,0,0.31812,0.0002400041,0.32696,0.0001496614,0.35942,0.0002039541,0.2126733,4.422241e-05
2022-10-31 19:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3247066,0.000288602,0.364,0,0.318,0,0.3269466,0.0002940905,0.3589,0,0.2126933,2.494481e-05
2022-10-31 19:15:00,b2,me,1490,46.6862577024,10.5798451965,0.3243,0,0.364,0,0.318,0,0.327,0,0.3589,0,0.2125133,0.0003095503
2022-10-31 19:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3243,0,0.364,0,0.318,0,0.327,0,0.3589,0,0.212,0
2022-10-31 19:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3243,0,0.364,0,0.318,0,0.327,0,0.3589,0,0.212,0
2022-10-31 20:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3243,0,0.364,0,0.318,0,0.32672,0.0002993228,0.3589,0,0.212,0
2022-10-31 20:15:00,b2,me,1490,46.6862577024,10.5798451965,0.3243066,2.494852e-05,0.36396,0.0001496614,0.3180133,3.39991e-05,0.32664,0.0002939291,0.3589,0,0.212,0
2022-10-31 20:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3243266,4.4229e-05,0.3634533,4.988217e-05,0.3180066,2.494852e-05,0.32644,0.0001496614,0.3589,0,0.2120067,2.494481e-05
2022-10-31 20:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3243533,4.989704e-05,0.3634933,2.494109e-05,0.3180667,4.714828e-05,0.32692,0.000203954,0.3587,0.0002828475,0.2120133,3.399404e-05
2022-10-31 21:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3243467,0.0001746102,0.3635,0,0.31806,4.899792e-05,0.32668,0.0002993228,0.3583,0,0.2120133,3.399404e-05
2022-10-31 21:15:00,b2,me,1490,46.6862577024,10.5798451965,0.3243867,3.39991e-05,0.3635,0,0.3180933,2.494852e-05,0.32652,0.0002399921,0.3583,0,0.2114067,0.0002351348
2022-10-31 21:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3244,0,0.3635,0,0.3180933,2.494852e-05,0.3264,0,0.3583,0,0.2118333,0.0003091194
2022-10-31 21:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3244,0,0.3635,0,0.3175866,0.0003095503,0.32644,0.0001496614,0.3583,0,0.2116533,0.000366726
2022-10-31 22:00:00,b2,me,1490,46.6862577024,10.5798451965,0.32408,0.0003429278,0.3635,0,0.3174,0,0.3264,0,0.3583,0,0.21148,0.0002970962
2022-10-31 22:15:00,b2,me,1490,46.6862577024,10.5798451965,0.32372,3.999472e-05,0.3635,0,0.3174067,2.494109e-05,0.3264,0,0.3583,0,0.2113467,4.988961e-05
2022-10-31 22:30:00,b2,me,1490,46.6862577024,10.5798451965,0.32376,4.898332e-05,0.3635,0,0.3174,0,0.3263267,0.0002080625,0.3583,0,0.2113733,4.422241e-05
2022-10-31 22:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3237866,3.398897e-05,0.3635,0,0.3174333,4.713422e-05,0.32636,0.0001496688,0.3583,0,0.2113933,2.494481e-05
2022-10-31 23:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3235067,0.0003335994,0.3635,0,0.31744,4.898332e-05,0.32584,0.0001496688,0.3580666,0.000264992,0.2114,0
2022-10-31 23:15:00,b2,me,1490,46.6862577024,10.5798451965,0.3231,0,0.3635,0,0.31744,4.898332e-05,0.32584,0.0001496688,0.3578,0,0.2113933,2.494481e-05
2022-10-31 23:30:00,b2,me,1490,46.6862577024,10.5798451965,0.32324,0.0002799988,0.3635,0,0.3174733,4.421582e-05,0.3258,0,0.3578,0,0.2113933,2.494481e-05
2022-10-31 23:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3238,0,0.3635,0,0.3174933,2.494109e-05,0.3258,0,0.3578,0,0.2114,0
2022-10-31 00:00:00,i1,me,1490,46.6870089577,10.5796932062,0.3810267,0.0002264668,0.3018,0,0.2554,0,0.1986666,4.714125e-05,0.3612533,0.0004964715,0.2728,0
2022-10-31 00:15:00,i1,me,1490,46.6870089577,10.5796932062,0.3809,0,0.3021666,0.0003823809,0.2554,0,0.1986733,4.422241e-05,0.36146,0.0002653345,0.2728,0
2022-10-31 00:30:00,i1,me,1490,46.6870089577,10.5796932062,0.3809,0,0.30254,0.0002799988,0.2554,0,0.1986866,3.399404e-05,0.36166,0.0002939437,0.2728,0
2022-10-31 00:45:00,i1,me,1490,46.6870089577,10.5796932062,0.3809,0,0.30254,0.0002799988,0.2554067,2.494109e-05,0.1986933,2.494481e-05,0.3618933,2.494852e-05,0.2728,0
2022-10-31 01:00:00,i1,me,1490,46.6870089577,10.5796932062,0.3809,0,0.3025533,0.0002753567,0.2554067,2.494109e-05,0.1986933,2.494481e-05,0.3619,0,0.2728,0
2022-10-31 01:15:00,i1,me,1490,46.6870089577,10.5796932062,0.3809,0,0.3021466,0.0004030925,0.2554133,3.398897e-05,0.19828,0.0003429271,0.36196,0.0001743548,0.2729,0.0002366421
2022-10-31 01:30:00,i1,me,1490,46.6870089577,10.5796932062,0.382,0,0.30256,0.0002154025,0.25544,4.898332e-05,0.1980933,0.0002379532,0.36166,0.0002939437,0.2735,0
2022-10-31 01:45:00,i1,me,1490,46.6870089577,10.5796932062,0.382,0,0.3024733,4.422901e-05,0.2554466,4.988217e-05,0.1983266,0.0003492198,0.3615,0.0002828475,0.27396,0.0003261891
2022-10-31 02:00:00,i1,me,1490,46.6870089577,10.5796932062,0.382,0,0.3024867,3.39991e-05,0.2554666,4.713422e-05,0.198,0,0.36186,0.0001496688,0.2735,0
2022-10-31 02:15:00,i1,me,1490,46.6870089577,10.5796932062,0.382,0,0.3024933,2.494852e-05,0.25548,3.999472e-05,0.198,0,0.3619,0,0.2735,0
2022-10-31 02:30:00,i1,me,1490,46.6870089577,10.5796932062,0.38188,0.0002400041,0.3018,0,0.2554933,2.494107e-05,0.1980067,2.494481e-05,0.36178,0.0002400041,0.2735,0
2022-10-31 02:45:00,i1,me,1490,46.6870089577,10.5796932062,0.38192,0.0002039642,0.3019933,0.0004639956,0.2554866,3.398897e-05,0.198,0,0.3613,0,0.2735,0
2022-10-31 03:00:00,i1,me,1490,46.6870089577,10.5796932062,0.38172,0.0002993377,0.3019,0.0003346643,0.2554933,2.494109e-05,0.1980067,2.494481e-05,0.36186,0.0001496688,0.2735,0
2022-10-31 03:15:00,i1,me,1490,46.6870089577,10.5796932062,0.3814,0,0.3018933,0.0002379533,0.2555,0,0.1980133,3.399404e-05,0.3615,0.0002828475,0.2735,0
2022-10-31 03:30:00,i1,me,1490,46.6870089577,10.5796932062,0.38144,0.0001496688,0.3018,0,0.2555,0,0.1980333,4.714125e-05,0.36162,0.0002993376,0.2735,0
2022-10-31 03:45:00,i1,me,1490,46.6870089577,10.5796932062,0.3814,0,0.30172,0.0002039642,0.2555,0,0.1980267,4.422241e-05,0.3613,0,0.2735,0
2022-10-31 04:00:00,i1,me,1490,46.6870089577,10.5796932062,0.3814,0,0.30128,0.0002039642,0.2555,0,0.1980133,3.399404e-05,0.3613,0,0.2735066,2.494852e-05
2022-10-31 04:15:00,i1,me,1490,46.6870089577,10.5796932062,0.3814,0,0.3014334,0.0003823942,0.2555,0,0.1980533,4.988961e-05,0.36134,0.0001496688,0.27314,0.0002939437
2022-10-31 04:30:00,i1,me,1490,46.6870089577,10.5796932062,0.3814,0,0.3017866,0.000162754,0.2554533,0.0001746099,0.1980467,4.988961e-05,0.3613,0,0.2728933,2.494109e-05
2022-10-31 04:45:00,i1,me,1490,46.6870089577,10.5796932062,0.3814,0,0.3016867,0.0002963482,0.2555,0,0.1980733,4.422241e-05,0.3613,0,0.2728933,2.494109e-05
2022-10-31 05:00:00,i1,me,1490,46.6870089577,10.5796932062,0.3814,0,0.3012,0.0005715452,0.2555,0,0.1980667,4.714125e-05,0.3613,0,0.2729,0
